title,summary,pdf
Some Insights into Lifelong Reinforcement Learning Systems,"  A lifelong reinforcement learning system is a learning system that has the
ability to learn through trail-and-error interaction with the environment over
its lifetime. In this paper, I give some arguments to show that the traditional
reinforcement learning paradigm fails to model this type of learning system.
Some insights into lifelong reinforcement learning are provided, along with a
simplistic prototype lifelong reinforcement learning system.
",http://arxiv.org/pdf/2001.09608v1
"Dex: Incremental Learning for Complex Environments in Deep Reinforcement
  Learning","  This paper introduces Dex, a reinforcement learning environment toolkit
specialized for training and evaluation of continual learning methods as well
as general reinforcement learning problems. We also present the novel continual
learning method of incremental learning, where a challenging environment is
solved using optimal weight initialization learned from first solving a similar
easier environment. We show that incremental learning can produce vastly
superior results than standard methods by providing a strong baseline method
across ten Dex environments. We finally develop a saliency method for
qualitative analysis of reinforcement learning, which shows the impact
incremental learning has on network attention.
",http://arxiv.org/pdf/1706.05749v1
Augmented Q Imitation Learning (AQIL),"  The study of unsupervised learning can be generally divided into two
categories: imitation learning and reinforcement learning. In imitation
learning the machine learns by mimicking the behavior of an expert system
whereas in reinforcement learning the machine learns via direct environment
feedback. Traditional deep reinforcement learning takes a significant time
before the machine starts to converge to an optimal policy. This paper proposes
Augmented Q-Imitation-Learning, a method by which deep reinforcement learning
convergence can be accelerated by applying Q-imitation-learning as the initial
training process in traditional Deep Q-learning.
",http://arxiv.org/pdf/2004.00993v2
"A Learning Algorithm for Relational Logistic Regression: Preliminary
  Results","  Relational logistic regression (RLR) is a representation of conditional
probability in terms of weighted formulae for modelling multi-relational data.
In this paper, we develop a learning algorithm for RLR models. Learning an RLR
model from data consists of two steps: 1- learning the set of formulae to be
used in the model (a.k.a. structure learning) and learning the weight of each
formula (a.k.a. parameter learning). For structure learning, we deploy Schmidt
and Murphy's hierarchical assumption: first we learn a model with simple
formulae, then more complex formulae are added iteratively only if all their
sub-formulae have proven effective in previous learned models. For parameter
learning, we convert the problem into a non-relational learning problem and use
an off-the-shelf logistic regression learning algorithm from Weka, an
open-source machine learning tool, to learn the weights. We also indicate how
hidden features about the individuals can be incorporated into RLR to boost the
learning performance. We compare our learning algorithm to other structure and
parameter learning algorithms in the literature, and compare the performance of
RLR models to standard logistic regression and RDN-Boost on a modified version
of the MovieLens data-set.
",http://arxiv.org/pdf/1606.08531v1
"Channel matrix, measurement matrix and collapsed matrix in teleportation","  In this paper, two kinds of coefficient matrixes (channel matrix, measurement
matrix)associated with the pure state for teleportation are presented, the
general relation among channel matrix, measurement matrix and collapsed matrix
is obtained. In addition, a criterion for teleportation that the number of
coefficient of an unknown state is determined by the rank of the collapsed
matrix is given.
",http://arxiv.org/pdf/1402.1240v1
A Holonomic Ideal Annihilating the Fisher-Bingham Integral,"  We calculate the integration ideal of annihilating differential operators of
the non-normalized Fisher-Bingham distribution and show that the ideal agrees
with the set of operators for the Fisher-Bingham integral given in ""Holonomic
Gradient Descent and its Application to the Fisher-Bingham Integral"". They
conjectured that the set generates a holonomic ideal and we prove their
conjecture.
",http://arxiv.org/pdf/1104.1411v2
Tauberian theorems and large deviations,"  The link between Tauberian theorems and large deviations is surveyed, with
particular reference to regular variation.
",http://arxiv.org/pdf/0712.3410v1
Solvability of the asymmetric Bingham fluid equations,"  In this work, we investigate the asymmetric Bingham fluid equations. The
asymmetric fluid of Bingham includes symmetric and antisymmetric stresses with
such stresses appearing as an elastic response to the micro-rotational
deformations of grains in a complex fluid. We show the global-in-time
solvability of a weak solution for three dimensional boundary value problem
with Navier boundary conditions of the asymmetric Bingham fluid equations.
",http://arxiv.org/pdf/1811.07427v1
Multivariate prediction and matrix Szegö theory,"  Following the recent survey by the same author of Szeg\""o's theorem and
orthogonal polynomials on the unit circle (OPUC) in the scalar case, we survey
the corresponding multivariate prediction theory and matrix OPUC (MOPUC).
",http://arxiv.org/pdf/1203.0962v1
Riesz Means and Beurling Moving Averages,"  We survey the interplay between the Riesz means and Beurling moving averages
of the title, obtaining Abelian and Tauberian results relating different Riesz
means (or Beurling moving averages) whose defining functions have comparable
growth. The motivation includes strong limit theorems in probability theory.
",http://arxiv.org/pdf/1502.07494v1
StarMap for Category-Agnostic Keypoint and Viewpoint Estimation,"  Semantic keypoints provide concise abstractions for a variety of visual
understanding tasks. Existing methods define semantic keypoints separately for
each category with a fixed number of semantic labels in fixed indices. As a
result, this keypoint representation is in-feasible when objects have a varying
number of parts, e.g. chairs with varying number of legs. We propose a
category-agnostic keypoint representation, which combines a multi-peak heatmap
(StarMap) for all the keypoints and their corresponding features as 3D
locations in the canonical viewpoint (CanViewFeature) defined for each
instance. Our intuition is that the 3D locations of the keypoints in canonical
object views contain rich semantic and compositional information. Using our
flexible representation, we demonstrate competitive performance in keypoint
detection and localization compared to category-specific state-of-the-art
methods. Moreover, we show that when augmented with an additional depth channel
(DepthMap) to lift the 2D keypoints to 3D, our representation can achieve
state-of-the-art results in viewpoint estimation. Finally, we show that our
category-agnostic keypoint representation can be generalized to novel
categories.
",http://arxiv.org/pdf/1803.09331v2
Pose2Instance: Harnessing Keypoints for Person Instance Segmentation,"  Human keypoints are a well-studied representation of people.We explore how to
use keypoint models to improve instance-level person segmentation. The main
idea is to harness the notion of a distance transform of oracle provided
keypoints or estimated keypoint heatmaps as a prior for person instance
segmentation task within a deep neural network. For training and evaluation, we
consider all those images from COCO where both instance segmentation and human
keypoints annotations are available. We first show how oracle keypoints can
boost the performance of existing human segmentation model during inference
without any training. Next, we propose a framework to directly learn a deep
instance segmentation model conditioned on human pose. Experimental results
show that at various Intersection Over Union (IOU) thresholds, in a constrained
environment with oracle keypoints, the instance segmentation accuracy achieves
10% to 12% relative improvements over a strong baseline of oracle bounding
boxes. In a more realistic environment, without the oracle keypoints, the
proposed deep person instance segmentation model conditioned on human pose
achieves 3.8% to 10.5% relative improvements comparing with its strongest
baseline of a deep network trained only for segmentation.
",http://arxiv.org/pdf/1704.01152v1
Keypoint Transfer for Fast Whole-Body Segmentation,"  We introduce an approach for image segmentation based on sparse
correspondences between keypoints in testing and training images. Keypoints
represent automatically identified distinctive image locations, where each
keypoint correspondence suggests a transformation between images. We use these
correspondences to transfer label maps of entire organs from the training
images to the test image. The keypoint transfer algorithm includes three steps:
(i) keypoint matching, (ii) voting-based keypoint labeling, and (iii)
keypoint-based probabilistic transfer of organ segmentations. We report
segmentation results for abdominal organs in whole-body CT and MRI, as well as
in contrast-enhanced CT and MRI. Our method offers a speed-up of about three
orders of magnitude in comparison to common multi-atlas segmentation, while
achieving an accuracy that compares favorably. Moreover, keypoint transfer does
not require the registration to an atlas or a training phase. Finally, the
method allows for the segmentation of scans with highly variable field-of-view.
",http://arxiv.org/pdf/1806.08723v1
"Unsupervised Keypoint Learning for Guiding Class-Conditional Video
  Prediction","  We propose a deep video prediction model conditioned on a single image and an
action class. To generate future frames, we first detect keypoints of a moving
object and predict future motion as a sequence of keypoints. The input image is
then translated following the predicted keypoints sequence to compose future
frames. Detecting the keypoints is central to our algorithm, and our method is
trained to detect the keypoints of arbitrary objects in an unsupervised manner.
Moreover, the detected keypoints of the original videos are used as
pseudo-labels to learn the motion of objects. Experimental results show that
our method is successfully applied to various datasets without the cost of
labeling keypoints in videos. The detected keypoints are similar to
human-annotated labels, and prediction results are more realistic compared to
the previous methods.
",http://arxiv.org/pdf/1910.02027v1
Neural Outlier Rejection for Self-Supervised Keypoint Learning,"  Identifying salient points in images is a crucial component for visual
odometry, Structure-from-Motion or SLAM algorithms. Recently, several learned
keypoint methods have demonstrated compelling performance on challenging
benchmarks. However, generating consistent and accurate training data for
interest-point detection in natural images still remains challenging,
especially for human annotators. We introduce IO-Net (i.e. InlierOutlierNet), a
novel proxy task for the self-supervision of keypoint detection, description
and matching. By making the sampling of inlier-outlier sets from point-pair
correspondences fully differentiable within the keypoint learning framework, we
show that are able to simultaneously self-supervise keypoint description and
improve keypoint matching. Second, we introduce KeyPointNet, a keypoint-network
architecture that is especially amenable to robust keypoint detection and
description. We design the network to allow local keypoint aggregation to avoid
artifacts due to spatial discretizations commonly used for this task, and we
improve fine-grained keypoint descriptor performance by taking advantage of
efficient sub-pixel convolutions to upsample the descriptor feature-maps to a
higher operating resolution. Through extensive experiments and ablative
analysis, we show that the proposed self-supervised keypoint learning method
greatly improves the quality of feature matching and homography estimation on
challenging benchmarks over the state-of-the-art.
",http://arxiv.org/pdf/1912.10615v1
"Robust Anomaly Detection and Backdoor Attack Detection Via Differential
  Privacy","  Outlier detection and novelty detection are two important topics for anomaly
detection. Suppose the majority of a dataset are drawn from a certain
distribution, outlier detection and novelty detection both aim to detect data
samples that do not fit the distribution. Outliers refer to data samples within
this dataset, while novelties refer to new samples. In the meantime, backdoor
poisoning attacks for machine learning models are achieved through injecting
poisoning samples into the training dataset, which could be regarded as
""outliers"" that are intentionally added by attackers. Differential privacy has
been proposed to avoid leaking any individual's information, when aggregated
analysis is performed on a given dataset. It is typically achieved by adding
random noise, either directly to the input dataset, or to intermediate results
of the aggregation mechanism. In this paper, we demonstrate that applying
differential privacy can improve the utility of outlier detection and novelty
detection, with an extension to detect poisoning samples in backdoor attacks.
We first present a theoretical analysis on how differential privacy helps with
the detection, and then conduct extensive experiments to validate the
effectiveness of differential privacy in improving outlier detection, novelty
detection, and backdoor attack detection.
",http://arxiv.org/pdf/1911.07116v1
Visual Concept Detection and Real Time Object Detection,"  Bag-of-words model is implemented and tried on 10-class visual concept
detection problem. The experimental results show that ""DURF+ERT+SVM""
outperforms ""SIFT+ERT+SVM"" both in detection performance and computation
efficiency. Besides, combining DURF and SIFT results in even better detection
performance. Real-time object detection using SIFT and RANSAC is also tried on
simple objects, e.g. drink can, and good result is achieved.
",http://arxiv.org/pdf/1104.0582v1
Cluster Based Cost Efficient Intrusion Detection System For Manet,"  Mobile ad-hoc networks are temporary wireless networks. Network resources are
abnormally consumed by intruders. Anomaly and signature based techniques are
used for intrusion detection. Classification techniques are used in anomaly
based techniques. Intrusion detection techniques are used for the network
attack detection process. Two types of intrusion detection systems are
available. They are anomaly detection and signature based detection model. The
anomaly detection model uses the historical transactions with attack labels.
The signature database is used in the signature based IDS schemes.
  The mobile ad-hoc networks are infrastructure less environment. The intrusion
detection applications are placed in a set of nodes under the mobile ad-hoc
network environment. The nodes are grouped into clusters. The leader nodes are
assigned for the clusters. The leader node is assigned for the intrusion
detection process. Leader nodes are used to initiate the intrusion detection
process. Resource sharing and lifetime management factors are considered in the
leader election process. The system optimizes the leader election and intrusion
detection process.
  The system is designed to handle leader election and intrusion detection
process. The clustering scheme is optimized with coverage and traffic level.
Cost and resource utilization is controlled under the clusters. Node mobility
is managed by the system.
",http://arxiv.org/pdf/1311.1446v1
"YOLO9000: Better, Faster, Stronger","  We introduce YOLO9000, a state-of-the-art, real-time object detection system
that can detect over 9000 object categories. First we propose various
improvements to the YOLO detection method, both novel and drawn from prior
work. The improved model, YOLOv2, is state-of-the-art on standard detection
tasks like PASCAL VOC and COCO. At 67 FPS, YOLOv2 gets 76.8 mAP on VOC 2007. At
40 FPS, YOLOv2 gets 78.6 mAP, outperforming state-of-the-art methods like
Faster RCNN with ResNet and SSD while still running significantly faster.
Finally we propose a method to jointly train on object detection and
classification. Using this method we train YOLO9000 simultaneously on the COCO
detection dataset and the ImageNet classification dataset. Our joint training
allows YOLO9000 to predict detections for object classes that don't have
labelled detection data. We validate our approach on the ImageNet detection
task. YOLO9000 gets 19.7 mAP on the ImageNet detection validation set despite
only having detection data for 44 of the 200 classes. On the 156 classes not in
COCO, YOLO9000 gets 16.0 mAP. But YOLO can detect more than just 200 classes;
it predicts detections for more than 9000 different object categories. And it
still runs in real-time.
",http://arxiv.org/pdf/1612.08242v1
"Enhancing classical target detection performance using nonclassical
  Light","  In this article, we demonstrate theoretically and experimentally how one can
exploit correlations generated in monolithic semiconductor quantum light
sources to enhance the performance of optical target detection. A prototype
target detection protocol, the quantum time-correlation (QTC) detection
protocol, with spontaneous parametric down-converted photon-pair sources, is
discussed. The QTC protocol only requires time-resolved photon-counting
detection, which is phase-insensitive and therefore suitable for optical target
detection. As a comparison to the QTC detection protocol, we also consider a
classical phase-insensitive target detection protocol based on intensity
detection. We formulated the target detection problem as a probe light
transmission estimation problem, and we quantify the target detection
performance with the Fisher information criterion and the receiver operation
characteristic analysis. Unlike classical target detection and ranging
protocols, the probe photons in our QTC detection protocol are completely
indistinguishable from the background noise and therefore useful for covert
ranging applications. Finally, our technological platform is highly scalable
and tunable and thus amenable to large scale integration necessary for
practical applications.
",http://arxiv.org/pdf/2004.06773v1
Deep Convolutional Neural Networks for Map-Type Classification,"  Maps are an important medium that enable people to comprehensively understand
the configuration of cultural activities and natural elements over different
times and places. Although massive maps are available in the digital era, how
to effectively and accurately access the required map remains a challenge
today. Previous works partially related to map-type classification mainly
focused on map comparison and map matching at the local scale. The features
derived from local map areas might be insufficient to characterize map content.
To facilitate establishing an automatic approach for accessing the needed map,
this paper reports our investigation into using deep learning techniques to
recognize seven types of map, including topographic map, terrain map, physical
map, urban scene map, the National Map, 3D map, nighttime map, orthophoto map,
and land cover classification map. Experimental results show that the
state-of-the-art deep convolutional neural networks can support automatic
map-type classification. Additionally, the classification accuracy varies
according to different map-types. We hope our work can contribute to the
implementation of deep learning techniques in cartographical community and
advance the progress of Geographical Artificial Intelligence (GeoAI).
",http://arxiv.org/pdf/1805.10402v1
$2^n-$rational maps,"  We present a natural extension of the notion of nondegenerate rational maps
(quadrirational maps) to arbitrary dimensions. We refer to these maps as
$2^n-$rational maps. In this note we construct a rich family of $2^n-$rational
maps. These maps by construction are involutions and highly symmetric in the
sense that the maps and their companion maps have the same functional form.
",http://arxiv.org/pdf/1512.00771v1
Some Properties of Mappings on Generalized Topological Spaces,"  This paper considers generalizations of open mappings, closed mappings,
pseudo-open mappings, and quotient mappings from topological spaces to
generalized topological spaces. Characterizations of these classes of mappings
are obtained and some relationships among these classes are established.
",http://arxiv.org/pdf/1501.06388v1
Extension maps,"  We define extension maps as maps that extend a system (through adding
ancillary systems) without changing the state in the original system. We show,
using extension maps, why a completely positive operation on an initially
entangled system results in a non positive mapping of a subsystem. We also show
that any trace preserving map, either positive or negative, can be decomposed
in terms of an extension map and a completely positive map.
",http://arxiv.org/pdf/quant-ph/0503119v1
On Net Maps: Examples and Nonexistence Results,"  A Thurston map is called nearly Euclidean if its local degree at each
critical point is 2 and it has exactly four postcritical points. Nearly
Euclidean Thurston (NET) maps are simple generalizations of rational Lattes
maps. We investigate when such a map has the property that the associated
pullback map on Teichmuller space is constant. We also show that no Thurston
map of degree 2 has constant pullback map
",http://arxiv.org/pdf/1507.01096v1
"Construction of Latent Descriptor Space and Inference Model of
  Hand-Object Interactions","  Appearance-based generic object recognition is a challenging problem because
all possible appearances of objects cannot be registered, especially as new
objects are produced every day. Function of objects, however, has a
comparatively small number of prototypes. Therefore, function-based
classification of new objects could be a valuable tool for generic object
recognition. Object functions are closely related to hand-object interactions
during handling of a functional object; i.e., how the hand approaches the
object, which parts of the object and contact the hand, and the shape of the
hand during interaction. Hand-object interactions are helpful for modeling
object functions. However, it is difficult to assign discrete labels to
interactions because an object shape and grasping hand-postures intrinsically
have continuous variations. To describe these interactions, we propose the
interaction descriptor space which is acquired from unlabeled appearances of
human hand-object interactions. By using interaction descriptors, we can
numerically describe the relation between an object's appearance and its
possible interaction with the hand. The model infers the quantitative state of
the interaction from the object image alone. It also identifies the parts of
objects designed for hand interactions such as grips and handles. We
demonstrate that the proposed method can unsupervisedly generate interaction
descriptors that make clusters corresponding to interaction types. And also we
demonstrate that the model can infer possible hand-object interactions.
",http://arxiv.org/pdf/1709.03739v1
Weights for Objects of Monoids,"  The main objective of the paper is to define the construction of the object
of monoids, over a monoidal category object in any 2-category with finite
products, as a weighted limit. To simplify the definition of the weight, we use
matrices of symmetric (possibly colored) operads that define some auxiliary
categories and 2-categories. Systematic use of these matrices of operads allows
us to define several similar objects as weighted limits. We show, among others,
that the constructions of the object of bi-monoids over a symmetric monoidal
category object or the object of actions of monoids along an action of a
monoidal category object can be also described as weighted limits.
",http://arxiv.org/pdf/1306.3215v1
An Object Model for the Representation of Empirical Knowledge,"  We are currently designing an object oriented model which describes static
and dynamical knowledge in diff{\'e}rent domains. It provides a twin conceptual
level. The internal level proposes: the object structure composed of
sub-objects hierarchy, structure evolution with dynamical functions, same type
objects comparison with evaluation functions. It uses multiple upward
inheritance from sub-objects properties to the Object. The external level
describes: object environment, it enforces object types and uses external
simple inheritance from the type to the sub-types.
",http://arxiv.org/pdf/2005.07464v1
Sparse distributed localized gradient fused features of objects,"  The sparse, hierarchical, and modular processing of natural signals is
related to the ability of humans to recognize objects with high accuracy. In
this study, we report a sparse feature processing and encoding method, which
improved the recognition performance of an automated object recognition system.
Randomly distributed localized gradient enhanced features were selected before
employing aggregate functions for representation, where we used a modular and
hierarchical approach to detect the object features. These object features were
combined with a minimum distance classifier, thereby obtaining object
recognition system accuracies of 93% using the Amsterdam library of object
images (ALOI) database, 92% using the Columbia object image library (COIL)-100
database, and 69% using the PASCAL visual object challenge 2007 database. The
object recognition performance was shown to be robust to variations in noise,
object scaling, and object shifts. Finally, a comparison with eight existing
object recognition methods indicated that our new method improved the
recognition accuracy by 10% with ALOI, 8% with the COIL-100 database, and 10%
with the PASCAL visual object challenge 2007 database.
",http://arxiv.org/pdf/1411.5268v1
Large-Scale Object Mining for Object Discovery from Unlabeled Video,"  This paper addresses the problem of object discovery from unlabeled driving
videos captured in a realistic automotive setting. Identifying recurring object
categories in such raw video streams is a very challenging problem. Not only do
object candidates first have to be localized in the input images, but many
interesting object categories occur relatively infrequently. Object discovery
will therefore have to deal with the difficulties of operating in the long tail
of the object distribution. We demonstrate the feasibility of performing fully
automatic object discovery in such a setting by mining object tracks using a
generic object tracker. In order to facilitate further research in object
discovery, we release a collection of more than 360,000 automatically mined
object tracks from 10+ hours of video data (560,000 frames). We use this
dataset to evaluate the suitability of different feature representations and
clustering strategies for object discovery.
",http://arxiv.org/pdf/1903.00362v2
Face Liveness Detection Based on Client Identity Using Siamese Network,"  Face liveness detection is an essential prerequisite for face recognition
applications. Previous face liveness detection methods usually train a binary
classifier to differentiate between a fake face and a real face before face
recognition. The client identity information is not utilized in previous face
liveness detection methods. However, in practical face recognition
applications, face spoofing attacks are always aimed at a specific client, and
the client identity information can provide useful clues for face liveness
detection. In this paper, we propose a face liveness detection method based on
the client identity using Siamese network. We detect face liveness after face
recognition instead of before face recognition, that is, we detect face
liveness with the client identity information. We train a Siamese network with
image pairs. Each image pair consists of two real face images or one real and
one fake face images. The face images in each pair come from a same client.
Given a test face image, the face image is firstly recognized by face
recognition system, then the real face image of the identified client is
retrieved to help the face liveness detection. Experiment results demonstrate
the effectiveness of our method.
",http://arxiv.org/pdf/1903.05369v1
SFA: Small Faces Attention Face Detector,"  In recent year, tremendous strides have been made in face detection thanks to
deep learning. However, most published face detectors deteriorate dramatically
as the faces become smaller. In this paper, we present the Small Faces
Attention (SFA) face detector to better detect faces with small scale. First,
we propose a new scale-invariant face detection architecture which pays more
attention to small faces, including 4-branch detection architecture and small
faces sensitive anchor design. Second, feature maps fusion strategy is applied
in SFA by partially combining high-level features into low-level features to
further improve the ability of finding hard faces. Third, we use multi-scale
training and testing strategy to enhance face detection performance in
practice. Comprehensive experiments show that SFA significantly improves face
detection performance, especially on small faces. Our real-time SFA face
detector can run at 5 FPS on a single GPU as well as maintain high performance.
Besides, our final SFA face detector achieves state-of-the-art detection
performance on challenging face detection benchmarks, including WIDER FACE and
FDDB datasets, with competitive runtime speed. Both our code and models will be
available to the research community.
",http://arxiv.org/pdf/1812.08402v1
"Face Detection and Face Recognition In the Wild Using Off-the-Shelf
  Freely Available Components","  This paper presents an easy and efficient face detection and face recognition
approach using free software components from the internet. Face detection and
face recognition problems have wide applications in home and office security.
Therefore this work will helpful for those searching for a free face
off-the-shelf face detection system. Using this system, faces can be detected
in uncontrolled environments. In the detection phase, every individual face is
detected and in the recognition phase the detected faces are compared with the
faces in a given data set and recognized.
",http://arxiv.org/pdf/1901.06585v1
Comparing Face Detection and Recognition Techniques,"  This paper implements and compares different techniques for face detection
and recognition. One is find where the face is located in the images that is
face detection and second is face recognition that is identifying the person.
We study three techniques in this paper: Face detection using self organizing
map (SOM), Face recognition by projection and nearest neighbor and Face
recognition using SVM.
",http://arxiv.org/pdf/1610.04575v1
Human Face as human single identity,"  Human face as a physical human recognition can be used as a unique identity
for computer to recognize human by transforming human face with face algorithm
as simple text number which can be primary key for human. Human face as single
identity for human will be done by making a huge and large world centre human
face database, where the human face around the world will be recorded from time
to time and from generation to generation. Architecture database will be
divided become human face image database which will save human face images and
human face output code which will save human face output code as a
transformation human face image with face algorithm. As an improvement the
slightly and simple human face output code database will make human face
searching process become more fast. Transaction with human face as a
transaction without card can make human no need their card for the transaction
and office automation and banking system as an example for implementation
architecture. As an addition suspect human face database can be extended for
fighting crime and terrorism by doing surveillance and searching suspect human
face around the world.
",http://arxiv.org/pdf/1405.6168v1
Data Gathering from Path Constrained Mobile Sensors Using Data MULE,"  In Wireless Sensor Network (WSN) sensor nodes are deployed to sense useful
data from environment. Sensors are energy-constrained devices. To prolong the
sensor network lifetime, now a days mobile robots (sometimes refer as data
sink, data mules, or data collectors) are used for collecting the sensed data
from the sensors. In this environment sensor nodes directly transfer their
sensed data to the data mules. Sensed data are sometime time sensitive;
therefore, the data should be collected within a predefined period. Hence,
depending on the speed of the data mules the trajectory lengths of the data
mules have upper limits. In this paper an approximation algorithm is proposed
for collecting data from the mobile sensors using mobile data collectors
",http://arxiv.org/pdf/1612.04053v1
